,Tweet,Sentimental,:),:-),:d,thanks,love,good,thank,see,happy,great,:(,:-(,miss,please,want,can't,time,sorry,one
12,@Mish23615351  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,"@jjulieredburn Perfect, so you already know what's waiting for you :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Great new opportunity for junior triathletes aged 12 and 13 at the Gatorade series! Get your entries in :) http://t.co/of3DyOzML0,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Laying out a greetings card range for print today - love my job :-),Positive,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Friend's lunch... yummmm :)
#Nostalgia #TBS #KU.",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,@RookieSenpai @arcadester it is the id conflict thanks for the help :D here's the screenshot of it working,Positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,@oohdawg_ Hi liv :)),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Hello I need to know something can u fm me on Twitter?? — sure thing :) dm me x http://t.co/W6Dy130BV7,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,#FollowFriday @MBandScott_ @Eric_FLE @pointsolutions3 for being top new followers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,"@rossbreadmore I've heard the Four Seasons is pretty dope. Penthouse, obvs #Gobigorgohome
Have fun y'all :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,@gculloty87 Yeah I suppose she was lol! Chat in a bit just off out x :)),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @maphisa301,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,💅🏽💋 - :)))) haven't seen you in years,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,@Bosslogic @amellywood @CW_Arrow @ARROWwriters Thank you! :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,@johngutierrez1 hope the rest of your night goes by quickly... I am off to bed... got my music fix and now it is time to dream  :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,"Spiritual Ritual Festival (Népal)
Beginning of Line-up :)
It is left for the line-up (y)
See more at:... http://t.co/QMNz62OEuc",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,@ke7zum Hey Sarah! Send us an email at bitsy@bitdefender.com and we'll help you asap :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,@izzkamilhalda lols. :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,MY kik - hatessuce32429 #kik #kikme #lgbt #tinder #nsfw #akua #cumshot :) http://t.co/TnHJD36yzf,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,@KalinWhite come to my house :))))),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,"#nsn_supplements, Effective press release distribution with results! :) [link removed] #PressRelease #NewsDistribution",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x46",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,everyone watch the documentary Earthlings on YouTube :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,@jamiefigsxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,#FollowFriday @MichelBauza @InvataOnline for being top supports in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,buuuuuuuut oh well :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,@leisuremarkltd @NoshandQuaff @aktarislam @keanebrands @HeritageSilver I am looking forward to visiting next week #letsgetmessy Jo :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,@sehunshinedaily if it makes u feel better i never have nor will see anyone in kpop in the flesh :D,Positive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,"@Joyster2012 @CathStaincliffe Good for you, girl!! Best wishes :-)",Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,@_Kimimi A great enough reason to listen to one epic soundtrack. :D,Positive,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42,@AquaDesignGroup Thank you for the shout out. Have a great Friday :),Positive,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,I added a video to a @YouTube playlist http://t.co/yzpfsMxUq0 im back on twitch and today it going to be league :) - 1 / 4,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Would love to see you dear in #Jordan :) waiting you! @FIRDOZ  :) @VisitJordan @dannyprol,Positive,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,"@ABNORMAL_ANA92 oh, okay :D thanks!",Positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,"@sssniperwolf like how to fake gameplays ;) haha Im kidding, im kidding. You do good stuff :).",Positive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,"@dennislami @Dicle_Aygur, yeah exactly :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Our new product line is in our #etsy shop now! Check it out :) http://t.co/h8exCTLQxg #boxroomcrafts,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,@PeakYourMind I hope your vacation is going great! :D,Positive,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,@groovinshawn they are rechargeable and it normally comes with a charger when u buy it :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,#FollowFriday @France_Espana @reglisse_menthe @CCI_inter for being top engaged members in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Well she's asleep and I have no one to talk to sooo someone text me :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,"@brynybrath @smallcappy Yes, I suppose. I bet he'll have a blue fit after hearing her speech today. Pity :-)",Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,"Green gardens, midnight sun, beautiful canals dasvidaniya till next visit.:)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,@KeithRParsons are you scouting SG for a future WLAN pros conference here in Asia? :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,"@Cecilie_Hell @420evilangel @wazimotometal @durooooooo @spigranty Good for u, better change it to lollipop 🍭 :).",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,We &lt;3 u Nez :) #AGNEZMO https://t.co/cGViMHSINz,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,@LittleMix Follow me Please :)  This is my Big Dream :),Positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,@Elemaaan  oley be :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,"""@CowokAddict: Mama is the only reason why I stand stronger up to now! :)""",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,@MacatangayApril  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,"@tk_kjk_kndr @boukendreamer OH MY GOD MISTY, MY BABY IS SO CUTE!!! :D",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,"@BhaktisBanter 

I love blue :)
#FlipkartFashionFriday http://t.co/HnbinH35ES",Positive,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,"@CarcassDrop Woohoo! Can't wait :) Have you signed up yet, or still thinking about it? MKa",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,i have liam access now :)),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,@SyuhxdxTengku most welcome :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/p6K6SiH58a.,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,@sluttywife2 you shouldn't be surprised...you have an amazing figure :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,#FollowFriday @murtishaw @aqui_fr @FRTechStartups for being top influencers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,"#HappyBirthdayEmilyBett @emilybett :) Wishing you all the best you beautiful,sweet,talented,amazing… https://t.co/humtC1tr3I",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,2 plans for the day down the drain great :):,Positive,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72,@x123456789tine @5SOS_FAHUpdates gotta love timezones :p,Positive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,"are your parents proud of you — lol, not in the least :D maybe sometimes they get happy because of my grades, al... http://t.co/bJjeGIOOGU",Positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
74,Grande :)  https://t.co/gsaaxNpR8u,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Manila_bro has chosen to follow me on Twitter! http://t.co/lKXZWXN1fb. Thanks for the follow :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,@syazwanzainal sure let me know when you're around..at this side of the world #eh u too take care :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,#FollowFriday @michae1green @superninjaalan @Doug_Laney for being top new followers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,finally the fucking weekend :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,REAL :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,@LoLEsportspedia thanks :D,Positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x45",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,YES! I Joined #HushedCallWithFraydoe for a call &amp; gift from @_Fraydoe &lt;3 Gotta Get @HushedApp :D http://t.co/VaLVe8omdT,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,@YasLarry yeahhh :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,can I DM you &amp; make your night better :))),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,just joined the #HushedPinWithSammy Event :D Might get to Text with @SammyWilk for a day! Luv U @HushedApp http://t.co/kGfgawdHy9,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Would really appreciate it if you share this video around :) https://t.co/MhK3B3wOpQ,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,Hello :) Get Youth Job Opportunities follow &gt;&gt; @tolajobjobs @xhebenkewu_9920,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,@TomParker oh wow!! That is beautiful tom :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,Love You @darlingIXHAI22 @SyreenAnne :)) https://t.co/wx7yRrE7sV,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,I added a video to a @YouTube playlist http://t.co/HVVPhSYakA im back on twitch and today it going to be league :) - 1 / 3,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,#FollowFriday @AmericanOGrain @PecomeP @APaulicand for being top supports in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,@ZaynZaynmalik30  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,Gym Monday can't wait :). Likes,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
94,"@HarNiLiZaLouis Hey, here's your invite to join Scope as an influencer :)  http://t.co/rZgZtQ2fJT",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Those friends know themselves :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,waiting for nudes :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,@JacobWhitesides go sleep u ! :))))))))),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/RB8pMNgMEo.,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,My birthday is a week today! :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,@metalgear_jp @Kojima_Hideo I want you're T-shirts ! They are so cool ! :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,@AxeRade haw phela if am not looking like Mom obviously am looking like him :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,@zaynmalik prince charming on stage :) x https://t.co/OnVFhzt5fZ,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,i have really good luck :),Positive,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104,Stats for the day have arrived. 1 new follower and NO unfollowers :) via http://t.co/XzsOGaC4zK.,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,#FollowFriday @straz_das @DCarsonCPA @GH813600 for being top engaged members in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,@twentyonepilots @fujirock_jp tylers hipster glasses :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,"@MartyRafenstein 

Hey Marty !! Glad to see on Twitter. :)",Positive,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
108,@UKBusinessLunch Hi we will be joining you again today :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,@LAfitnessUKhelp done thanks :-),Positive,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,"Its already afternoon, lets read Al Kahfi before the day finish :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,OhmyG! yaya dub @mainedcm im done doing to stalk your ig accnt.. GONDOOO MOO TOLOGOOO :) HAHA,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,@rozbabes Here's your invite to become a Scope influencer :) Details here: http://t.co/ipJ2yOiGet,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,#FollowFriday @NGourd @Locita @D_Robert_Kelly for being top influencers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,@kevinthewhippet @Cassie_Spaniel @Bracken_Nelson @BellisimoBella1 @SpanielHarry thanks :) zzz xx,Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Physiotherapy Friday is my hashtag for today. Custom! :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,"@Cjlopez21 you know I will 💪 Monica and I miss you to, yeah sounds good to me :)",Positive,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
117,"""Good morning, beautiful :)"" That's all it takes.",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x43",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,@MandaScapinello oh yeah?? I am definitely going to try it tonight then! :) we took your advice too! We are in Treviso now!,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,@morallosanthony  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,@NIKKIERIOZZI Hi! Would you like an @imPastel concert? Let me know your city and country and I'll start working on it! Thanks :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,"Fine, 
...Have a gorgeous Friday, friend!!..; xo..-:)) https://t.co/JmpkZP2DaI",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,"Oven roasted garlic in olive oil, sun dried tomatoes, some dried basil, and century tuna :) https://t.co/EsCc9QhLob",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,@HostMyOffice @NigelPWhittaker @lemezma @TWBC_Business @_TheBunkerJL Right back atchya!  Have a great day everyone :),Positive,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
125,@TeamTall17 @FlashHayer  but doesn't even follow back :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,The future is almost here then :) https://t.co/rolE3ZCL97,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,#FollowFriday @Michelploria @MyFrenchCity @jasoncreation for being top new followers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,No chance :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,@ChiAB2486 @MrCliveC @PCDKirkwood @DC_ARVSgt @COPS_President @EmWilliamsCCCU @LauraRGallagher @Hall11Kate @LaMinx541 @JohnTarbet71 cheers :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,@thatguycalledP go po for ice cream :)),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,@19strawberry66 I agree 100% :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,@SpazzyTsukihara hehehehe thats the point :p,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,@KalinWhite next time just stay home :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
134,@Gculloty87 thanks :),Positive,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,#FollowFriday @digitalplace2be @intlboost @_lafontpresse for being top supports in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,"@stayfaboo it will be up soon, i promise :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Web Whatsapp volta a funcionar com iPhone jailbroken. :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,@crustyolddeen (I plan on watching it later) at 34 mins Leia appears as a hologram from R2D2 w a message for Obi Wan as he sits w Luke :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,"@Mburu__ Inter 3 UCL, Arsenal... Small team, Right! :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,"Just passing by :) 🚂 (@ Dewsbury Railway Station (DEW) - @nationalrailenq in Dewsbury, West Yorkshire) https://t.co/DvBssHbrfx",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,@ClearlyArticle :) its 430 am smh,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,@uptommosass it's 9:25 am here :) I live in Scotland :) it's strange to imagine what?- Megan xx,Positive,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,"@bookmyshow 

 !
#MasaanToday
#MasaanToday

A4.... Shweta Tripathi  
 !
#MasaanToday
#MasaanToday

-.:-) .-..,",Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,@WforWoman 5. Over 20 W kurtas! And my Mom has about half the number I have :D #WSaleLove,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Ah! Hello back Larry! @TransworldBooks :) https://t.co/8XhjJb4jtH,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Anyway my Friday is looking kinda gooood :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,@jhun_hunyo  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Lol. Well. That's life :) thank God it enn you  https://t.co/GLoCEIjGQQ,Positive,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,@OJBJ @holmesjsamuel surely this could be your warmup this morning ??? Coming on 15th to Bath :) xx,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,"Dum Dum Andar - Ram Sampath, Sona Mohapatra &amp; Samantha Edwards Mein Tulane to razi razi, Wah! That's Josh :) http://t.co/ul8MARDfhm",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,@justinbieber :) always smile,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,@darlakim_ picture. :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,"@arsenalnewsasit Thanks again, your time 16.20 right? That's perfect timing for me here :).",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
154,#FollowFriday @IzywayLesExpats @na4innov @InXpressCoAzur for being top engaged members in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,@Juleeyaanaa i know :)),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,#GiveItUp We have already given up our gas subsidy long back when this initiative was proposed.. Feeling so delighted having done that!! :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,@dayloladay I missed this yesterday!! :-),Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,"Hi BAM ! @BarsAndMelody 
Can you follow my bestfriend @969Horan696 ? 
She loves you a lot :) 
See you in Warsaw &lt;3 
Love you &lt;3 x42",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,@jaimeemelanie_ lmaoo! The best songs ever &lt;3 We shall have our own little throwback this week (y) :p,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,"@Clazziebritchas then go to the outlying islands, such as Cheung Chau, Mui Wo....totally different :))",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,#KFCkitchentours Kitchen is so clean. I'm totally amazed :) @KFC_India,Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,@cybelxxx  follow @jnlazts &amp; http://t.co/RCvcYYO0Iq follow u back :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,"@Jana7380 on the cusp of testing the waters, hope yours is rewarding :)",Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,#FollowFriday @BroadcastBeat @InSunWeTrust @conseilsmkg for being top influencers in my community this week :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,"arummzz: Let's go... I'll drive for you :p

#traveling #traveler #yogyakarta #jeep #Indonesia #instamood… https://t.co/s7y4Ys5JeU",Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,Anyone wanna skype me? :D,Positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,"@agylyxa may i look so, bit i am a real nice friendly girl :-)",Positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Im not like them. But i can pretend~ :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,watching where we are concert film :),Positive,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
